Month,Equipment,Losses
2022-03,"2024
Tanks",17780
2022-03,Armored fighting vehicle,35175
2022-03,Artillery systems,37775
2022-03,Cars and cisterns,51570
2022-03,Cruise missiles,7839
2022-03,Helicopters,984
2022-03,MLRS,2408
2022-03,Planes,736
2022-03,Ships (boats),84
2022-03,Special equipment,6663
2022-03,Submarines,3
2022-03,UAV,49235
2022-03,aircraft warfare,1927
2022-04,"2024
Tanks",17824
2022-04,Armored fighting vehicle,35285
2022-04,Artillery systems,57094
2022-04,Cars and cisterns,51911
2022-04,Cruise missiles,5226
2022-04,Helicopters,656
2022-04,MLRS,3644
2022-04,Planes,1104
2022-04,Ships (boats),56
2022-04,Special equipment,6707
2022-04,Submarines,2
2022-04,UAV,33107
2022-04,aircraft warfare,2905
2022-05,"2024
Tanks",26792
2022-05,Armored fighting vehicle,53129
2022-05,Artillery systems,38359
2022-05,Cars and cisterns,78527
2022-05,Cruise missiles,5233
2022-05,Helicopters,656
2022-05,MLRS,2446
2022-05,Planes,736
2022-05,Ships (boats),56
2022-05,Special equipment,10122
2022-05,Submarines,3
2022-05,UAV,33329
2022-05,aircraft warfare,1945
2022-06,"2024
Tanks",17889
2022-06,Armored fighting vehicle,35516
2022-06,Artillery systems,38485
2022-06,Cars and cisterns,52712
2022-06,Cruise missiles,7856
2022-06,Helicopters,985
2022-06,MLRS,2448
2022-06,Planes,737
2022-06,Ships (boats),84
2022-06,Special equipment,6782
2022-06,Submarines,2
2022-06,UAV,50322
2022-06,aircraft warfare,1949
2022-07,"2024
Tanks",17915
2022-07,Armored fighting vehicle,53503
2022-07,Artillery systems,58113
2022-07,Cars and cisterns,53097
2022-07,Cruise missiles,5238
2022-07,Helicopters,658
2022-07,MLRS,3690
2022-07,Planes,1107
2022-07,Ships (boats),56
2022-07,Special equipment,6869
2022-07,Submarines,2
2022-07,UAV,33939
2022-07,aircraft warfare,2930
2022-08,"2024
Tanks",26934
2022-08,Armored fighting vehicle,35834
2022-08,Artillery systems,38851
2022-08,Cars and cisterns,80008
2022-08,Cruise missiles,5239
2022-08,Helicopters,658
2022-08,MLRS,2462
2022-08,Planes,738
2022-08,Ships (boats),84
2022-08,Special equipment,10319
2022-08,Submarines,3
2022-08,UAV,34028
2022-08,aircraft warfare,1956
2022-09,"2024
Tanks",18011
2022-09,Armored fighting vehicle,35971
2022-09,Artillery systems,38969
2022-09,Cars and cisterns,53723
2022-09,Cruise missiles,7860
2022-09,Helicopters,987
2022-09,MLRS,2463
2022-09,Planes,1107
2022-09,Ships (boats),56
2022-09,Special equipment,6894
2022-09,Submarines,2
2022-09,UAV,51306
2022-09,aircraft warfare,1956
2022-10,"2024
Tanks",27109
2022-10,Armored fighting vehicle,54236
2022-10,Artillery systems,58646
2022-10,Cars and cisterns,53933
2022-10,Cruise missiles,5247
2022-10,Helicopters,658
2022-10,MLRS,3696
2022-10,Planes,738
2022-10,Ships (boats),56
2022-10,Special equipment,6949
