Month,Equipment,Losses
2022-02,"28
Submarines",1
2022-02,Cars and cisterns,25248
2022-02,Cruise missiles,2595
2022-02,Helicopters,328
2022-02,UAV,15879
2022-03,"2024
Tanks",26486
2022-03,"28
Submarines",2
2022-03,Armored fighting vehicle,52048
2022-03,Artillery systems,55847
2022-03,Cars and cisterns,50764
2022-03,Cruise missiles,5207
2022-03,Helicopters,656
2022-03,MLRS,3597
2022-03,Planes,1104
2022-03,Special equipment,9673
2022-03,UAV,31977
2022-03,aircraft warfare,2872
2022-04,"2024
Tanks",17729
2022-04,"28
Submarines",3
2022-04,Armored fighting vehicle,34914
2022-04,Artillery systems,37528
2022-04,Cars and cisterns,76454
2022-04,Cruise missiles,7830
2022-04,Helicopters,984
2022-04,MLRS,2407
2022-04,Planes,1104
2022-04,Special equipment,6610
2022-04,UAV,48503
2022-04,aircraft warfare,1923
2022-05,"2024
Tanks",26644
2022-05,"28
Submarines",2
2022-05,Armored fighting vehicle,52629
2022-05,Artillery systems,56546
2022-05,Cars and cisterns,77063
2022-05,Cruise missiles,5226
2022-05,Helicopters,656
2022-05,MLRS,3612
2022-05,Planes,736
2022-05,Special equipment,9962
2022-05,UAV,32670
2022-05,aircraft warfare,2889
2022-06,"2024
Tanks",17801
2022-06,"28
Submarines",3
2022-06,Armored fighting vehicle,35223
2022-06,Artillery systems,37871
2022-06,Cars and cisterns,51725
2022-06,Cruise missiles,7839
2022-06,Helicopters,984
2022-06,MLRS,2416
2022-06,Planes,1104
2022-06,Special equipment,6677
2022-06,UAV,49416
2022-06,aircraft warfare,2899
2022-07,"2024
Tanks",26768
2022-07,"28
Submarines",3
2022-07,Armored fighting vehicle,53047
2022-07,Artillery systems,57285
2022-07,Cars and cisterns,78293
2022-07,Cruise missiles,5228
2022-07,Helicopters,656
2022-07,MLRS,3655
2022-07,Planes,736
2022-07,Special equipment,10100
2022-07,UAV,33221
2022-07,aircraft warfare,1942
2022-08,"2024
Tanks",17884
2022-08,"28
Submarines",2
2022-08,Armored fighting vehicle,35491
2022-08,Artillery systems,57688
2022-08,Cars and cisterns,52554
2022-08,Cruise missiles,7855
2022-08,Helicopters,984
2022-08,MLRS,3671
2022-08,Planes,1105
2022-08,Special equipment,6771
2022-08,UAV,50171
2022-08,aircraft warfare,2922
2022-09,"2024
Tanks",26860
2022-09,"28
Submarines",3
2022-09,Armored fighting vehicle,53392
2022-09,Artillery systems,38703
2022-09,Cars and cisterns,79495
2022-09,Cruise missiles,7857
2022-09,Helicopters,658
2022-09,MLRS,2459
2022-09,Planes,738
2022-09,Special equipment,10265
2022-09,UAV,33784
2022-09,aircraft warfare,1952
2022-10,"2024
Tanks",17946
2022-10,"28
Submarines",2
2022-10,Armored fighting vehicle,53710
2022-10,Artillery systems,58261
2022-10,Cars and cisterns,53276
2022-10,Cruise missiles,5239
2022-10,Helicopters,987
2022-10,MLRS,3693
2022-10,Planes,1107
2022-10,Special equipment,6878
2022-10,UAV,51020
2022-10,aircraft warfare,2934
2022-11,"2024
Tanks",26999
2022-11,"28
Submarines",3
2022-11,Armored fighting vehicle,35971
2022-11,Artillery systems,38969
2022-11,Cars and cisterns,80455
2022-11,Cruise missiles,7860
2022-11,Helicopters,658
2022-11,MLRS,2463
2022-11,Planes,738
2022-11,Special equipment,10335
2022-11,UAV,51306
2022-11,aircraft warfare,1956
2022-12,"2024
Tanks",27109
2022-12,"28
Submarines",2
2022-12,Armored fighting vehicle,54236
2022-12,Artillery systems,58646
2022-12,Cars and cisterns,53933
2022-12,Cruise missiles,5247
2022-12,Helicopters,987
2022-12,MLRS,3696
2022-12,Planes,1107
2022-12,Special equipment,6949
2022-12,UAV,34517
2022-12,aircraft warfare,2934
2023-01,"2024
Tanks",18150
2023-01,"28
Submarines",3
2023-01,Armored fighting vehicle,36374
2023-01,Artillery systems,39212
2023-01,Cars and cisterns,81362
2023-01,Cruise missiles,7874
2023-01,Helicopters,987
2023-01,MLRS,2466
2023-01,Planes,1107
2023-01,Special equipment,10487
2023-01,UAV,52226
2023-01,aircraft warfare,1960
2023-02,"2024
Tanks",18178
2023-02,"28
Submarines",2
2023-02,Armored fighting vehicle,54770
2023-02,Artillery systems,59146
2023-02,Cars and cisterns,54651
2023-02,Cruise missiles,5250
2023-02,Helicopters,658
2023-02,MLRS,3708
2023-02,Planes,738
2023-02,Special equipment,7048
2023-02,UAV,35267
2023-02,aircraft warfare,2944
2023-03,"2024
Tanks",27319
2023-03,"28
Submarines",3
2023-03,Armored fighting vehicle,36687
2023-03,Artillery systems,39603
2023-03,Cars and cisterns,82680
2023-03,Cruise missiles,7875
2023-03,Helicopters,987
2023-03,MLRS,2480
2023-03,Planes,738
2023-03,Special equipment,10639
