Month,Military Personnel
2022-03,17500
2022-04,23200
2022-05,30500
2022-06,35600
2022-07,40830
2022-08,47900
2022-09,59080
2022-10,71820
2022-11,88880
2022-12,105960
2023-01,127500
2023-02,149240
2023-03,173360
2023-04,190510
2023-05,207910
2023-06,228340
2023-07,246190
2023-08,263020
2023-09,278130
2023-10,300810
2023-11,328760
2023-12,359230
2024-01,385230
2024-02,413760
2024-03,442170
2024-04,468720
2024-05,507650
2024-06,542700
2024-07,578120
2024-08,614950
2024-09,653060
2024-10,694950
2024-11,740400
2024-12,768220
